Title,Rating,Comment
Worth for Money,4,"I was using this headset from past 1 year. Overall the sound, bass quality is very good. User friendly like we will never feel any discomfort like other headsets. We acn easily carry and we can use at any time. They have manufactured the headset with good quality of material. Music lovers can blindly go for this and the price of this headset also reasonable. Only one negative point is there is no microphone for this headset only we can play songs. Those people who is looking for a microphone, don't go for this. Except this, everything is well maintained. Thank you."
Awesome for 800rs,4,"Guys sennheisee is the most popular brand in the world , most of the popular artist use this company product ok let's come to the topic.

What is the benefit ~ you get a headphone with 3 sets of rubber and one pouch .

What I don't like is this earphone don't have a microphone which is really a very big letdown for those people you who like to talk in earphone alright let's talk about the sound quality this is one of the most good sounding earphone in this price .

So I will recommend you go for this earphone .

Piyush"
This year phones have very good bass,4,"These headphones are very good bass. it comes with two ear plugs XL and xxl size. after using of one week it came to handle with me . and very very design but be aware of original product.

it come with 3.5 mm gold plated Jack.

divide comes with Sennheiser branding that is the main thing you can watch to know that this earphones are original."
Value for money,4,"Comfortable and Sturdy

the Sennheiser CX 180 Street II In-Ear Headphone, this earphone fits comfortable and feels sturdy in design, It perfectly fits with all your audio gadgets with its 3.5mm stereo mini plug and give you the acoustics to your music like never before. It comes with a set of different sized ear caps so you can use the one that fits your ear best and does not let the Earphone slide off. The sturdy cable is 1.2 m long that gives you enough space between you and your device. It has a finger contoured housing design that gives it a sleek look and easy adjustment for comfortable wear. Carry it wherever you want, while travelling, shopping or maybe for a walk, the CX 180 is the perfect companion to your audio device.

My overall satisfaction with this device is excellent but still it lacks microphone. But however performance vice its really good.

Moreover people who opt for buying a genuine product can buy this."
Worst quality product,1,"Hello everyone today I want to share my experience with sennheiser cx 180 Street ll in headphone. Hope it Going to help you all.

Last few months I am using this headphone and I am very disappointed with it I bought it from online shopping. The headphone is very bad I'm using this last 4months but now it's of no use because the speaker of the headphone stops working left side of the headphone no sound can be listen I just wasted my money on this bad product the quality of the sound is not smooth my ear starts paining after using it for 30min so I would say not to use this headphone it's just wastage of money.

Thank you"
FEELS THE@TRE CrYst@L ExcITemeNt,3,"I was purchased sennheiser earphone before six months in one day delivery and I found really brabd new with full seal pack product.Light weight, easily connected and no pain in my ears and gives high quality clear sound.It is black colour and speakers in ear phones gives theatre bass sound I m enjoying since sep 2016.No sound lag and gives really impressive sound I m satisfy cx 180 performance.little bit of disappointment that at this proce no mic becus mic is a imp part of earphone to attend calls in noisy areas.overall value for money product.i attached Bill of my earphone.so you can see in snap view.thanks"
Best earphones in medium budget,4,"One of the best earphones from the best company .

It has amazing sound quality with good bass.I searched so many earphones before I bought this product.

Pros:

Excellent sound quality

Good bass

Extra rubbers

Cons:

No pouch to keep them safe

No mic

There were two words that I uttered when I listened to my N8 with it.Awesome piece of product.Audio range is very good, never miss a single sound in the MP3 with this headphone.Everything is clear and distinct.Bass is commendable too."
After using these earphones since 2 months ..,3,"My review about this headphones are very good in base and sound.

.Design and looks: The ear phones are well designed and very good in looks with innovative finger contoured  design so easy to adjust to ears and comfort in wearing them with the product it has 2 set of ear buds for a comfortable music and with sturdy cable of 1.2 m long gives a long gap between phone and ear phones

.Performance: coming to performance It is very good in sound with its 3.5 mm mini plug, it is build with a bass -driven stereo takes impression on bass . it has 20 Hz to 20, 000 Hz frequency with 110 db sound level; so that we can't disturbed interference of external noises. it can be used for smartphones, tablet, mp 3, laptops etc.

.Value for money: when I purchased it was 490 approximately on online service

.Overall satisfaction: this product satisfy very well but i'am not satisfied on one quality that is it doesn't  has mic and volume increase and decrease buttons .

my suggestion to buy this product it satisfy well.

thank you"
Go for these earphones,4,These earphones are having a crystal clear sound with a good bass also as compared to the earphones which we get with the cell phones . The price of these earphones is quite high but the company gives a 2 year warranty and the replacement in the service center takes only 5 minutes. These earphones are compatible with a large range of cell phones. The sound output won't let you get bored in your free time and you can kill time easily with these earphones.
Quality Sound and best earphone ever,4,Hello friends I buy this earphone few months ago and I review this for best and quality choice for every customer so its design is simple and good but I really says that I like that design its not cool but performance is must it is very good quality and balanced sound it has best best sound which we get in this prize range so due to sound we neglect the design its performance is very good I used from 6 month and I havn't any problem atall and its prize its cost you 790 -899 in amazon because its prize are regulary chaged but I buy it for 799 and I really says it is value for money and its satisfied all my need and give me realistic experience and fell more thrill I ever saw during games and movie
SHARP SOUND UNDER 1K!,4,"The Sennheiser CX- 180 is a really smart pick for those who are true song lovers! This earphones costs around 600RS to 1000RS depending upon the websites. This earphones comes with two pairs of extra ear plugs of varying sizes.

The sound quality that comes out of this earphones is really lound and sharp! But unfortunately they lack in having an in-line microphone. Apart from this they provide pleasant bass and terrible!

They comes with a 3.5mm headphone jack. They have impedence of 16 ohms. Frequency response is 20Hz to 20, 000Hz.

Lastly I suggest you all to go ahead and give it a try to this earphones. They really live upto our expectations!"
Not the best but still has awesome sound quality.,3,"Before I actually bought this headphone I had previously used house of marley lil birds, creative ep-630, audio technica ATH CLR-100 so technically I have used all major earphones under the price range of Rs-1000

1) Sound Quality- The sound quality of sennheiser cx 180 is not the best in this price range . the bass is average but the treble is slightly more powerful. personally I dont like it. but you can change it if you play around with the equalizer in your android or ios device.

2)Noise isolation - This earphone lacks sound isolation.it dosnt have a pinhole for noise isolation in the earphone. the noise isolation is average. you can here the surroundings in low volumes or mid volumes.

3)Build quality- sennheiser has actually built this earphone quite nice and sturdy the quality is very good. the wires dont get bent or twist .

4)Connector- the connector is gold platted and it given a l shape angle for safety.

5)Mic- this earphones dont have a inbuilt mic."
Makes us live in the music world,4,"I have been using this ear phones since an year. Truly stands for music lover's best earphones. Sennheiser is provides the amazing sound quality and a great experience to its users.

Pros:

Stylish looks and gives best performance for all types of music. Surely will forget the outside world when listening in this earphones. Best value for money below Rs.1000/-.

Cons:

The only disadvantage is not having mic in this model. Except this, everything is amazing."
Not a Good Earphones,1,"Everyone in this world listen music. music is a relief from every stresses you have in your day.

listening music by earphones the best way.

today we are discussing about Sennheiser CX 180 Street II In Ear Earphones

The style and design of the your phone are very nice. looks very good and design is also a unique design .

As we are talking about the performance. they have very good performance and very good quality of sound.

but I want to share my experience I brought a phone 1 year back in starting the performance of the air phone is very nice but after one month the voice quality become very low and the mic in-the-ear phone is not working properly.

so we can say that the headphones are good but do not durable order reliable at all

I do not have the true value for money because at least they have to work properly for 1 year

I was very disappointed because the sound quality was very nice in starting and I am facing many problems now because the headphones are get damaged the quality of sound they do not provide me at all so I can say that I am not satisfied at all by these headphones.

are there is no cure centre of this company in a city that I can exchange or replace or repair these headphones by going there"
BAD BUILD QUALITY,2,"After I damaged my Motorola basic earphone I decided to buy an earphone of an reputed company so I decided to buy this earphone as this was the most rated earphone in the market. But honestly speaking after buying this earphone I was very disappointed. As the bulid quality of the earphone was terrible.It could damage easily, the thickness of the wire is very thin which makes it vulnerable to damage. And also the sound quality is also not very great. Bass is very bad and sometimes the sound also gets noisy. Therefore I don't advice you all to buy this earphone at all, go for better options."
Worthless earphones.,1,"Sennheiser cx 180 street ll in earphones , friends sennheiser conpany products is nit working well.

this sennheiser company earphines and headphones prise is too high, but its not good.

never buying this sennheiser company earphones, it is a worthless earphones.try to never buying.

sound quality of this sennheiser earphines is not much good , uts a bassless earphones friends.

its a worthless friends , I told you that never buying.all services is that extremely too poor of tbis company."
BEST IN IT'S SEGMENT | WORTH BUYING,4,"Sennheiser is a well known sound system manufacturer. I had used these earphones and with my experience these are the best earphones in it's price range.

-It has clear and crisp sound quality and it's bass level is decent.

-Built quality is very good and it's wire is strong and well designed.

-These earphones are air tight and fits comfortably in ears with out causing any pain if used for hours.

-It comes with 3.5 mm jack which fits with almost every compatible handset.

CONS:- NO MIC

CONCLUSION:-

If you are looking for quality earphones at moderate price then this could be what you are looking for."
Confused but in my case bad roduct,2,"Hello Friends,

Now I am going to share my review on Sennheiser CX 180 street 2 in ear earphones.

I will start from beginning. I saw this product, when two of my friends bought this. I listen music with those earphones, and I realize that they have amazing quality, and I decided to order this for myself also.

On October 3. 2016 I ordered sennheiser cx 180 from amazon. the Vroduct had a good quality when I bought this, but after only 3 months of use suddenly the left ear of earphone started sounding low. the volume was approx to zero.

then I ask to amazon to replace it, they ssaid to have to contact sennheiser.com . and then sennheiser said you have to go the service center which is 3 hours off from my house or you have to parcel this product to the service center.

then I send this to center. and they replace my earphone. the new one is working also good. but let see what will happen in futture with this.

I am in a confusion that two of my friend has no p roblem with this product, but me and one another friend had the same problem, exact same. the difference is first two friend bought this in around jan 2016 and we bought this october 2016. but still they dont have any problem but we had.

what could we the reason of that. I do not know. but still I will take my case for review. so this was a bad product for me.

Thank you!"
Cheap material but good sound,1,"So friends iam tlking about senhiser street earphone, so start in ponits,

1.the sound is very good

2 the cable is very thin and easly brakable

3.the cable tangaled most of time which is a very bad and irritating thing,

4.got metal rim on earpiece

5.durable but not as much as other like sony and jbl,

6.easily available on amazon

Overall is a nic earphone not a great one and price is littel bit expensive approx 799 rs. On amazon so buy it if you have no problem with tangled wires."
Perfect in middle range,4,"It's no small achievement being one of the highest selling audio products in India, and the Sennheiser CX180 is just that. It's such a successful model and sells in such huge volumes that Sennheiser actually rations supplies to dealers all over the country. A noted online retailer recently told us that he receives not more than 100 units of the CX180 at the beginning of every month, and these are usually sold out within a week. What is it that makes the CX180 so popular? We find out in our review.

Specifications, design and comfort

The Sennheiser CX180 is an in-ear canalphone-style headset, and has a frequency response range of 20-20, 000Hz. It also has an impedance rating of 16Ohms and a sensitivity of 110dB. The headset does not have an in-line microphone and remote, and has a standard 1.2m cable. The sales package includes three sets of ear-tips in different sizes.

On the design front, the Sennheiser CX180 is simple and functional. Made entirely of plastic, the earphones have a glossy finish on the front and a dull finish on the back, which has been designed in such a way that it's possible to grip each earphone between your finger and thumb for insertion and removal. It's also incredibly light and comfortable, which ensures ease of use over long periods. The only flaw is the cable, which is thin, tangle-prone, and extremely susceptible to cable noise.

Performance

The Sennheiser CX180 is an entry-level headset that is expected to be used primarily with mobile devices. The majority of our testing was done using an Android smartphone, but we also tried it with our reference and a Windows laptop. Focus tracks were Zomboy's Nuclear, Bonobo's Days To Come, and Gotye's State Of The Art."
Clear bass and nice design,4,"I purchased these earphones from Amazon and I got this around rs 800 in flash sale.These earphones are worth to buy.The audio was very clear.Considering the price I was afraid the bass would be very boomy but it was really very clear and bearable till long period.The wire is of high quality do it does not gets tangles easily. I am using it since 1  month I don't know till when they will be with me but as of now I am enjoying the music with these earphones.I am having 3-4 earphones but I prefer to use this earphones for most times.I carry this earphone whenever I travel.The earphone will be supported by most of the smartphones as it is of 3.5mm jack.It will support all the phones from the major manufacturers like Samsung, Motorola, Kenobi, Xiaomi and etc.Dont buy this pair of earphone in the local offline market as many duplicate brands ae also available of same design and build quality.So it wil be better if you purchase from online shopping websites like amazon and flipkart or snapdeal.These earphones are worth of the every single penny we pay for it.The design looks very classy and stylish.The earphones comes with extra earbuds, so in case the earbuds get damaged, we can simply vhange them.There is also some paperwork which you will get the earphones.The earphones are having active noise cancellation so just plug the earphones in and enjoy the music."
Real music blaster,5,"I used this earphone from last 1 month. Befire too I am using several product like Mi and JBL. But this priduct is wosame in term of real musical sound.

First of all the sound quality is great, cristal clear and perfect Bass. The earphone is idwal for MP 3 player abd mobile.

It is durable enough even it has thin wire. But the over all quality is good.

The only con is there is no mic option wich disappoint me at the time to recived a call. Otherwise the product is best in its categories."
Worthless...,1,"I've had this for over 4 years now. I had bought it blindly because I needed an inexpensive in-ear headphone, and had previously positive experiences with it. This one - flat out disappointing. Mids are over-boosted and it gets screechy when I'm watching movies. Bass is lack-luster(yes, I've tried alternate buds), and highs are not especially pleasant either. The stock earphones you get with cellphones these days(Samsungs, Sony, HTC) are all much much better balanced than these. Quality is solid though, so while some excellent sounding Philips in-ears(""sports edition"" meant to be rugged and waterproof) died out with a year, this continues, to my annoyance, to tick on. I primarily use it now to listen to podcasts when I'm running, where the mid-range boost actually helps. But for music and general use, a very annoying experience.

Pros: Well-built, can get decent volume out of them

Cons: Terrible sound, expensive for what they deliver

Bottom-line: No"
Poor performance and built-in quality,1,"I have purchased this earphone because I had full trust on SENNHEISER that they make good product but my views have changed dramatically after using it.

The looks are fine but the material used for covering wire is not laminated properly also the plugs are too slippery but the worst part is that the earphome has poor sound reception. So what is the use of purchasing branded earphones.

So I am not at all satisfied by because of this extremely poor built-in quality. So friends pls dont waste your money on this earphone go for skullcandy they are better."
Poor sound quality of earphone.,1,"Friends.

sennheiser company earphone prise is too high.

anybody not easy to buy this earphone , because this company earphone expensive and no of use.

this company earphone sound quality is too bad friends.sound not clear and not full high bass in this sennheiser earphone.

this earphone looks and design is not good and this sennheiser earphone not available any gurantee.

this company earphone working only some days.friends never buy this company earphones , its not working well.

this earphone sound quality is too bad , its too bad earphone for buying."
Best in class,5,"The sennheiser cx 180 is the best earphone under ruppes1000 .if u r a music junky and loves to listen high bass music with good combination of tribble than this earphone is for u .it dosen, t have a inline microphone and this is the negative point of this earphone but if u adjustable of it .it has a great earphone according to the price it has a gold platted L - shape cord of 3.5 mm and last but not the least u will get extra ear burds with this earphone according to ur size .overall it is the fantastic earphone under ruppes 1000 and no one can beat this - u will get it from flipkart and amazon.in flipkart the offers are going on so do cheakout their"
Wonderful earphone..,5,"I had brought this earphones on 6 months back still now I do not encountered even a small problem.the earphone design is awesome and perfectly fits in ears.most of the earphone got a pain after hearing sometime but this earphone is superb using it.the wire is round which is more flexible and very hard even in sleeping I keep it in my ears The next day it is curled on my body.so it is very strong.it worth of its price, super bass and I had got more satisfaction with it.friends no.1 earphone in its brand at low cost.lets go for it."
"Dont think, grab them, Best in class",4,"I buy these headphone year ago. I would say they have bst sound in this prices range with good bass and sound.They are so good some ome stole mine.They have good build quaility.

Design & look:- IT look great. But wires are not look high quality but they are though. Wire tends be messed up when u put them in your pocket.

Performance:-

Better for daily use. These earphone are provide better voice. These headphone are provide better voice.Bass is not too much high but it is satisfying. It got a balance.

Valur for money- this earphones are best in this price range. There need to think just go for it.

It provide three size of earnbuds. Best to use with equilizer according to ur choice."
Best Device in efficient Price!!,4,"I have recently buy this device and I just love this device as the device is good and price is very justified.

Design and looks are quite good but can be improved.

Performance of the product is very good in just 500 bucks, I love the performance of the device.

Value for money I will say 10/10 as they are very cheap and performance is very good too.

Overall I must say I am totally satisfied from the product and I loved this product as the device is very cheap with amazing quality ."
Feel the difference,3,With the Senheiser's collection of headsets we can explore deep into the music or anything that we listen through it.The Senheiser guarentees a new diamention of sound which is comfortable to us and can be listen to longer timer without any distortion.We get closer and closer to the crystal clear sound clarity provided by Senheiser.
Amazing experience,3,The earphones are excellent and most affordable in ear earphones. the design is slim and easy to carry. it fits well into the ears without any problem.noise cancellation is extraordinary and I cant hear any outside disturbances and completely enjoy the music. the clarity of sound is top notch living up to the brand name of senheiser. they are a perfect value of money and give a better satisfaction compared to other earphones around thousand rupees. they are highly durable and lasts for a long time on moderate usage. the bass is very good.
Tremendous sound,5,"These earphones are one of the best earphones that I got in this range after a lot of consultment and watching reveiws over and over on the internet. The quality of bass is awesome but not for bass lovers. The earphones provide every crisp of the sound and a good quality sound which enables you to listen the crisps , ups and downs of every intrument used. It is for those who love the original quality of the song which the musician want to convey and provide precisely unpredictable quality . These are durable. I often used to sleep by wearing them and they felt so comfortable."
BEAST AT THIS RANGE,4,I bought this earphone two weeks ago and I must say this is the best earphone I have ever heard in this range. The balance of bass and treble is absolutely perfect. I can use this earphone continuously for two to three hours without any discomfort.The build quality of this earphone is also very good .It is also very durable and comfortable. I totally recommend this earphone to everyone and specially to beginners.
King of earphones,5,"I bought this earphone four months ago from amazon.in . It is a very good earphone in its price range available at a very reasonable price.

Design of the earphone is very good . Bass quality is also good . You will never feel any irritation or headache even after listening music for long duration . Grip of the earphone inside ear is also very good , it fits very well ."
Must buy earphone for music lovers,4,"Great product from Sennheiser at Rs 800/-. These earphones are very light, ergonomic and fashionable. Their cable is very thin but strong enough to resist normal wear and tear easily. The build quality is decent. Overall, the durability is good at the price tag they come with.

Coming to how these sound, perhaps these are the loudest earphones under 1k. They have a high sensitivity of 110db/mw which is higher than any earphone at this price. These earphones are good for those who want to enjoy listening to a variety of genres due to a well balanced sound. But more balanced is the sound, lesser the fun it becomes to listen to any specific genre. They also have a good SOUNDSTAGE which is not too narrow but not so wide as well. Stereo sound is average. You can hear the different instruments somewhat distinctively."
Budget earphone and perfect bass,3,"I bought this piece last year from amazon and cost me 800rs.It is light weight earphone and very comfortably fit into ears.The bass is very good as compared to Jbl and comes with the two years warranty. Watching movies with this piece get you theatre experience.

Well recommend it go for it without any issue"
AWESOME,4,"After damaging my samsung basic earphones I decided to buy mid range earphone of branded company.I was confused between JBLT150A and sennheiser cx180 but then I decided to go for sennheiser cx180 and I made a right choice.This earphone is awesome.It performs great in all aspects whether it be bass,treble,etc.I wasn't expecting this level of performance from it.It is very comfortable and I can use it for 5-6 hours without any discomfort.I recommend this earphone to all beginners who have a tight budget."
Sure to have one!,4,"This piece of earphone has a great great bass, which is surely going to amaze you.

Sound clarity is absolutely magnificent.

You will love it when u had them on.

Look wise it is simple but the performance it delivers is simply superb.

It fits in your ears without any inconvenience.

It comes with 2 additional earbuds according to the best fit for your ears.

Small, medium and large.

Select the appropriate size and these eaephones will do thier job. It simply cancels the outside noise to give u the best of your music.

A bit pricey but u will not regret after buying it.

Go for it

without any second thoughts!"
The Real Value For Money,4,"Excellent earphones.
They sit very comfortably in my ears and the sound quality is excellent. Probably the best headphones I've bought under 1k. The bass and treble is Good at this price range.Balanced bass and treble. Earbuds are comfortable for long hours of music. Almost perfect Noise Cancellation/Isolation. Gold plated, L-shaped 3.5mm connector with tear-resistant plastic at the jack. But Doesn't hv a physical button, missing microphone. Dont purchase this if you want to use it while driving.Otherwise its an awesome headphone. Warranty-It comes with 2 years Sennheiser all over India warranty. Great. The others headphones, only 1 years warranty.
If you need mic with the earphone then go for JBL T150A In-Ear Headphone With Mic(Black)

Otherwise Just close your eyes and click buy now.

LIKE MY REVIEW"
Perfect Sound Never Consider Before.,5,"Sennheiser CX 180 Earphones come with a beautful looking plastic body design, 1 meter long premium cable. The brand logo is very attractive. It gives earphone, a premium look.

This product Produces high bass and clear sound which is suitable for your ears. 3.5mm audio jack makes it adjustable with every device. overall performance of this device is perfect.

Price are around to 800rs . ihave bought it from amazon last year. So value for money, this is nice product of sennheiser company.

I m fully satisfied with the performance and I have no problem till date."
Awesome product,4,"Armed with expertise that spans over 60 plus years and incorporating the best in headphone engineering and sound/ audio solutions, we at Sennheiser introduce to you yet another great pair of musical accessories in the form of the CX 180 ear canal headphones. The rendition of ours offers a rewarding listening experience and belongs to our portable entertainment headphones’ section.

Sennheiser CX 180 portable entertainment headphones are capable of delivering a powerful bass and offer high passive attenuation of ambient noise to provide an uncompromised musical session. Moreover, flattered by a finger contoured housing design, the stunning pair of ear canal headphones pave the way for easy adjustment and maximised wearing comfort for the user.

So grab the Sennheiser CX 180 portable entertainment ear canal headphones without a moment’s delay and keep tapping your foot to the beats of your favourite tracks even when you are on the move!"
Value for money!,4,"I'm using this earphone for 3 years now .Earphone comes with 2 year warranty, 2 month before its warranty end, one side of earphone stop working then I went to service center of sennheiser(time tower in Gurgaon) and they gave me a brand new earphone and for me it's best b'cos I like bass and it has punchy bass, I used other popular earphone under Rs 1000, they have more treble and less bass compare this one and durability of this earphone is too good, I use them everyday while I go to sleep and it's still good and it wire is long which is good and it comes with 3 different size ear piece but it doesn't have mic but overall it's a good buy ."
Real fell of Music,5,"I used this earphone from last 1 month. I brought it from amazon after read several reviews. Here I write my personal review after using it a month.

First of all a quality of earphone depends on its sound quality. As music is very personal and subjective to every person and this earphone is made for the music lovers.

This product has enough decent build quality and simple design in compared to other brands. It has metal finish design with plastic and matt finish. It come with L shape Gold plated 3.5 mm jack and is compatible with most of the music devices.

It has long durability and strong enough to normal user. The most interesting feature I like is the sound quality. its make a perfect combination of Bass and Treble which create a wosame sound for all type of user and with all type of music weather it is pop, classical or instrumental.

The only thing that make me sad is absence of ""Mic""

If I consider it for valur for money I give it 8/10.

Finally my verdict is wosame product at this price range."
Awesome product,3,"I bought this earphone from flipkart at 799Rs. I had Gionee G3 mobile and the earphones that came with it was awesome. It had a good bass but the earbuds was big. So couldnt listen to music for long as my ears would pain. I listen to music and go to sleep and when I wake up in the morning it would be all entangled. Very rough use I mean. So had to buy several earphone as one of the sides would stop working. As compared to that, Sennhesier earphones doesn't have good bass but it is kind of a noise cancellation earphones with a loud sound which is good for music. I used the earphones and it needs getting used to and then I started loving it. After a long time of rough usage, one of the sides stopped working. Ordered another one for 699 from snapdeal and it is still working fine. I hope to use it as long as it breaks."
CX-180 The best earphones under 1000,5,"After a lot of research, I bought these earphones from amazon at a price of 819. They are by far, the best earphones that you can get under 1k rupees and they also come with a 2 year warranty. They are compact and sturdy and the look and feel is awesome. However, the cables are not anti-tangle. The 3.5 mm headphone jack is gold plated and L-shaped, which not only provides a better connnectivity, but also prevents accidental disconnection. They come with 3 pairs of eartips. Small, medium and large. The medium ones felt slightly tight to me, so I replaced them with the smaller ones. Now, I feel very comfortable wearing them and I can listen to music 5 hours non-stop. Sound quality is superb and they are just perfect for listening to bass heavy music. Sound doesn't tend to distort even at high volumes. Noise isolation is also perfect. The only bad thing about them is that they doesn't have a microphone. So you wont be able to make or recive calls through the mic. I dont often use mic so I am totally satisfied with them and I recommend these to anyone who is looking for a pair of earphones that offer an amazing sound quality under 1k. However, if you feel the need of a mic, you can go for the JBL C100Si which cost just about the same."
Very pure sound budget earphone under1000,4,Its a very good investment for the music lovers. Sennheiser is a well known german brand. Quality of this earphone is very high. I am using it last 2 years still not a single issue with this earphone. It comes in very good packaging and I bought for 799 rs. Lows and highs are damn perfect of this earphone. Bass is perfect even at louder volumes you will not face any noise to your ears voice is soft at high volumes too so no irritation to your ears. Jack comes with gold plated. It does not have a mic but that is not a issue if you wish for sound quality. Beats are perfect of this earphone. Surround sound effect is amazing. Wires are tangle free light weight. Look is very lovable Magnet of speaker is very high quality. No ear pain even after longer usages. Wire quality is so strong it will not break easily. Go for this headphone if you have budget under 1000.
Awesome product,5,I bought this earphones an year ago . This product is so good .sound quality of these earphones are brilliant I am using for long time . The service of sennheiser is is also brilliant I got replaced my earphones in just 10 minutes exactly 10 min. it has feature of variable length u can increase or decrease the length of earphones as you want . The bass is very good . It has 2 years warranty . Such a awesome product . These earphones are worth the price.
Useless earphones,2,"This earphones does not work properly. while you plug this earphones with your mobile it automatically makes the mobile to silent mode this is one of the worst thing I absorbed in this earphones.so, i recommend you not to buy this earphones with this price you can buy a better earphones"
One of the best,5,A friend recommended me these beasts. No doubt I am am in love with it.Every thing from its asthetics to the sound quality have been engineered with care.best part is the noise cancellation feature.you wont hear a sound from the outside when you put these on.takes music to a whole new and beautiful level.do give it a try
Awesome Earphone For Usage,4,"This earphones are just awesome .The sound Quality is so good n clearly set, the bass is also damn awesome .I basically use this earphones for my gym workout.I need this earphones more to gift it on my friends birthday.The looks are also made well to make a human being attractive towards it."
Great sound,4,"First off all I got this product for 750 Rs
Sound Clarity is excellent with great base stereo suits to any kind of mobile.
Quality and Warranty. I used this ear phones every day and used to keep in my jeans pocket so the wiring got damaged however sennheiser provides 2yrs of warranty they replaced it with out asking any questions it worked for almost 10 months in poor operating conditions.
My conclusion Best product under 700Rs
Its drawback is that it does not have mic and a built quality is little low"
Sennheiser,2,I purchased this sennheiser CX 180 .I didnt like this earphone at all.The sound quality is extremely poor.The bass was not good.After 4 months of utilization the left half of the earphones ceased working.I was annoyed totally pissed off.So I asked for substitution and I got comparable model earphone and I was stunned subsequent to utilizing it.It had comparable issues and again one side of earphone halted working.I am exceptionally disillusioned with sennheiser.Rate of this earphone is high and in addition the quality is exceptionally bad.I gained from that experience that I ought to never purchase from sennheiser.Now am utilizing skullcandy earphones which is great.
Best earphonea under 1000rs category.,4,"Well these are the new earphones, which I just bought recently and after using them almost 2weeks now, I could tell that these earphones produce great sound on all the bollywood tracks which I usually listen. I am not that expert as far as sound is concerned but when I compare it with my previous earphones they sound amazing. Actually my cousin recomend me these earphones and now I thanks him so much for the advice.

As per my experience I would recomend to all the listeners who listens music quite a lot but, are on tight budget, plus the build quality is also great, the only downfall I found that it does not have earpiece to recieve calls, but overall ots great.this time these are available on discount at amazon, so go and grab the deal."
Best ever earphones from Sennheiser,5,"Sennheiser is a best brand for earphones. U can chose. Coming to its look it has a type of design that u can hold it very griply. It comes with 2 ear buds 1 with earphones this ear buds are made up of silicone which is good and it helps in noise cancellation which is very important for the earphones u can wear this earphones for more than a hour it won't hurt ur ear . It has 3.5mm jack which is quit common. Coming to sound it is awesome. The bass is best the mids are good high's are crispi and lows are fine. And earphones come with 2 years warranty which is not common at all. The only thing is lacking in the earphones and taht is the button to accept a call or buttons to raise or raise down the volume. Otherwise the product is really good.

I am going to rate the earphones as 9/10

I have not given 1 point because it has no button."
Worth to buy,5,"Sennheiser CX 180 is the best earphones under 700

rs.I had bought this earphones about a last month it seems very cool design with great sound output and clearity, Best thing of this earphone is the bass, actually the pepole who listens bollywood and vocals type of songs then go for this earphones.I also a bollywood song lover and also I love this earphone.Wire quality is good.One more best thing about it is the compony gives 2 years of warrenty with this earphones so we can exchange our earphones for any issue or reason except cutting of wire.Although the earphones are awesome."
At your own rus,1,So basically I like this product as the bass is good which kinda leads to overshadowing the mids and just kills treble at huge extent. plus if you're a mover and in to exercise and all those stuff I am sad to say but this thing couldn't go long it's not durable at all. so buy at your own risk mine got messed up in 2 months
Sennheiser CX 180 Street II In Ear Earphones,5,"Product Description

Sennheiser CX 180 Street II In-Ear Headphone

Comfortable and Sturdy

The ideal companion to all your audio devices is here. With comfortable fit and sturdy design the Sennheiser CX 180 Street II In-Ear Headphone, fits perfectly with all your audio gadgets with its 3.5mm stereo mini plug and give you the acoustics to your music like never before. It comes with a set of different sized ear caps so you can use the one that fits your ear best and does not let the Earphone slide off. The sturdy cable is 1.2 m long that gives you enough space between you and your device. It has a finger contoured housing design that gives it a sleek look and easy adjustment for comfortable wear. Carry it wherever you want, while travelling, shopping or maybe for a walk, the CX 180 is the perfect companion to your audio device.

Powerful Sound Quality

The Sennheiser CX 180 has been engineered with Bass-driven Stereo sound technology that gives impressive and deep bass. The technologically advanced design of the earphone reduces the peripheral noise to ensure you stay entertained without any interference of external noises. It is equipped with 16 ohms impedance, 20 Hz to 20, 000 Hz frequency response and 110dB sound pressure level. Be it your smartphone, tablet, MP3 player or any other device just plug in the Sennheiser CX 180 Street II In-Ear Headphone for an enriched acoustics experience.

From the Manufacturer

Remarkable Engineering Unified with Ace Sound Quality

A marvel of sophisticated headphone engineering and superior sound solutions, Sennheiser CX 180 Street II in-ear headphone is an absolute must-have accessory for people who are fond of music. With a built-in capability of delivering a powerful bass-driven stereo sound, the Sennheiser CX 180 Street II is the perfect gadget that lets you enjoy an uncompromising music listening session. Keeping in mind the wearing comfort of the listeners, the makers have incorporated a finger contoured housing design that makes it easy to adjust and gives it a stylish appearance as well.

Cancels Unwanted Noise

The last thing that you want to bother about during your music listening session is the noise pollution that comes in from external ambience. This Sennheiser CX 180 headphone helps you do exactly this with its technically superior features that include relatively higher headphone sensitivity of 16 Ohms. With its perfect in-ear–canalphone design coupled with the excellent noise attenuating ability, the Sennheiser in ear headphone ensures that the ambient noise does not interrupt your listening experience. Additionally, these headphones are portable as well as lightweight making them easy to carry around even in your pocket.

Type: Wired in-the-ear headphone

Colour: Silver

Design: In-ear-canalphone

Powerful sound reproduction and impeccable bass response

Eliminates background noise

Frequency Response: 18 to 20, 000 Hz

Impedance: 16 Ohms"
